PO_Number,PO_Date,Doc_Type,Vendor,Purch_Org,Purch_Group,Material,Description,Plant,Quantity,UOM,Pieces_Per_Unit,Price_Per_Unit,Currency,PR_Number,Info_Record,Payment_Terms,Total_Amount,Total_Pieces
4515042057,2024-02-26,NB,1165336,DEA1,7EF,PL568T,CLIP LIGATURE MED.LARGE 20MAGAS.=120PCS.,DE01,2288.0,PAK,120,61.6,EUR,4345690911.0,5301133479.0,N002,140940.80000000002,274560.0
4515190991,2024-04-23,NB,1165336,DEA1,7EF,PL568T,CLIP LIGATURE MED.LARGE 20MAGAS.=120PCS.,DE01,2288.0,PAK,120,61.6,EUR,4364138582.0,5301133479.0,N002,140940.80000000002,274560.0
4515190994,2024-04-23,NB,1165336,DEA1,7EF,PL568T,CLIP LIGATURE MED.LARGE 20MAGAS.=120PCS.,DE01,2288.0,PAK,120,61.6,EUR,4364138960.0,5301133479.0,N002,140940.80000000002,274560.0
4515190998,2024-04-23,NB,1165336,DEA1,7EF,PL568T,CLIP LIGATURE MED.LARGE 20MAGAS.=120PCS.,DE01,2288.0,PAK,120,61.6,EUR,4364139057.0,5301133479.0,N002,140940.80000000002,274560.0
4515191003,2024-04-23,NB,1165336,DEA1,7EF,PL568T,CLIP LIGATURE MED.LARGE 20MAGAS.=120PCS.,DE01,2288.0,PAK,120,61.6,EUR,4364145574.0,5301133479.0,N002,140940.80000000002,274560.0
4515191007,2024-04-23,NB,1165336,DEA1,7EF,PL568T,CLIP LIGATURE MED.LARGE 20MAGAS.=120PCS.,DE01,2288.0,PAK,120,61.6,EUR,4364139303.0,5301133479.0,N002,140940.80000000002,274560.0
4515191008,2024-04-23,NB,1165336,DEA1,7EF,PL568T,CLIP LIGATURE MED.LARGE 20MAGAS.=120PCS.,DE01,2288.0,PAK,120,61.6,EUR,4364145575.0,5301133479.0,N002,140940.80000000002,274560.0
4515191010,2024-04-23,NB,1165336,DEA1,7EF,PL568T,CLIP LIGATURE MED.LARGE 20MAGAS.=120PCS.,DE01,2288.0,PAK,120,61.6,EUR,4364145576.0,5301133479.0,N002,140940.80000000002,274560.0
4515191011,2024-04-23,NB,1165336,DEA1,7EF,PL568T,CLIP LIGATURE MED.LARGE 20MAGAS.=120PCS.,DE01,2288.0,PAK,120,61.6,EUR,4363838894.0,5301133479.0,N002,140940.80000000002,274560.0
4515751710,2024-12-10,NB,1165336,DEA1,7EF,PL568T,CLIP LIGATURE MED.LARGE 20MAGAS.=120PCS.,DE01,2288.0,PAK,120,61.6,EUR,4436770943.0,5301133479.0,N002,140940.80000000002,274560.0
4516078097,2025-04-23,NB,1165336,DEA1,7EF,PL568T,CLIP LIGATURE MED.LARGE 20MAGAS.=120PCS.,DE01,2288.0,PAK,120,61.6,EUR,4475499324.0,5301133479.0,N002,140940.80000000002,274560.0
4516078101,2025-04-23,NB,1165336,DEA1,7EF,PL568T,CLIP LIGATURE MED.LARGE 20MAGAS.=120PCS.,DE01,2288.0,PAK,120,61.6,EUR,4475499325.0,5301133479.0,N002,140940.80000000002,274560.0
4516078102,2025-04-23,NB,1165336,DEA1,7EF,PL568T,CLIP LIGATURE MED.LARGE 20MAGAS.=120PCS.,DE01,2288.0,PAK,120,61.6,EUR,4475499326.0,5301133479.0,N002,140940.80000000002,274560.0
4516078103,2025-04-23,NB,1165336,DEA1,7EF,PL568T,CLIP LIGATURE MED.LARGE 20MAGAS.=120PCS.,DE01,2288.0,PAK,120,61.6,EUR,4475499327.0,5301133479.0,N002,140940.80000000002,274560.0
4516078105,2025-04-23,NB,1165336,DEA1,7EF,PL568T,CLIP LIGATURE MED.LARGE 20MAGAS.=120PCS.,DE01,2288.0,PAK,120,61.6,EUR,4475499328.0,5301133479.0,N002,140940.80000000002,274560.0
4516078110,2025-04-23,NB,1165336,DEA1,7EF,PL568T,CLIP LIGATURE MED.LARGE 20MAGAS.=120PCS.,DE01,2288.0,PAK,120,61.6,EUR,4475499329.0,5301133479.0,N002,140940.80000000002,274560.0
4516638109,2025-12-09,NB,1165336,DEA1,7EF,PL568T,CLIP LIGATURE MED.LARGE 20MAGAS.=120PCS.,DE01,2288.0,PAK,120,61.6,EUR,4546025730.0,5301133479.0,N002,140940.80000000002,274560.0
4516638113,2025-12-09,NB,1165336,DEA1,7EF,PL568T,CLIP LIGATURE MED.LARGE 20MAGAS.=120PCS.,DE01,2288.0,PAK,120,61.6,EUR,4546245893.0,5301133479.0,N002,140940.80000000002,274560.0
