Material,Plant,Storage_Location,Base_UOM,Unrestricted_Stock,Quality_Inspection,Blocked_Stock
PL568T,DE01,nan,ST,20.0,0.0,0.0
PL568T,DE01,nan,ST,20.0,0.0,0.0
PL568T,DE01,nan,ST,20.0,0.0,0.0
PL568T,DE01,DEA0,ST,20260.0,0.0,0.0
PL568T,DE01,DEA0,ST,45680.0,0.0,0.0
PL568T,DE01,DEA0,ST,45700.0,0.0,0.0
PL568T,DE01,DEA0,ST,45700.0,0.0,0.0
PL568T,DE01,DEA0,ST,45700.0,0.0,0.0
PL568T,DE01,DEA0,ST,45640.0,0.0,0.0
PL568T,DE01,DEA0,ST,45640.0,0.0,0.0
PL568T,DE01,DEA0,ST,45700.0,0.0,0.0
PL568T,DE01,DEC0,ST,820.0,0.0,0.0
PL568T,DE01,DETL,ST,153.0,0.0,0.0
