Client,PR_Number,PR_Item,Doc_Type,Purch_Group,Description,Material,Plant,Quantity,UOM,Delivery_Date,Valuation_Price,Price_Unit,Desired_Vendor,Purch_Org,Info_Record,PO_Number,PO_Date,PO_Quantity
100,4211016351,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      15.360,000",ST,01.06.2023,"        62,18",20.0,,DEA1,5301133479.0,4514072353.0,23.01.2023,"      15.360,000"
100,4219530467,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      15.360,000",ST,26.06.2023,"        62,18",20.0,,DEA1,5301133479.0,4514128858.0,13.02.2023,"      15.360,000"
100,4228621601,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      15.360,000",ST,14.07.2023,"        61,94",20.0,,DEA1,5301133479.0,4514185894.0,07.03.2023,"      15.360,000"
100,4233814169,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      15.360,000",ST,02.08.2023,"        61,97",20.0,,DEA1,5301133479.0,4514238900.0,27.03.2023,"      15.360,000"
100,4237813505,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      15.360,000",ST,25.08.2023,"        61,97",20.0,,DEA1,5301133479.0,4514260791.0,04.04.2023,"      15.360,000"
100,4243876558,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      15.360,000",ST,13.09.2023,"        61,93",20.0,,DEA1,5301133479.0,4514305608.0,24.04.2023,"      15.360,000"
100,4248881959,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      15.360,000",ST,26.09.2023,"        61,87",20.0,,DEA1,5301133479.0,4514343215.0,10.05.2023,"      15.360,000"
100,4253448163,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      15.360,000",ST,10.10.2023,"        61,78",20.0,,DEA1,5301133479.0,4514368725.0,22.05.2023,"      15.360,000"
100,4259187137,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      15.360,000",ST,25.10.2023,"        61,85",20.0,,DEA1,5301133479.0,4514419175.0,12.06.2023,"      15.360,000"
100,4264684949,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      15.360,000",ST,10.11.2023,"        61,82",20.0,,DEA1,5301133479.0,4514454794.0,26.06.2023,"      15.360,000"
100,4270553679,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      45.760,000",ST,28.11.2023,"        61,80",20.0,,DEA1,5301133479.0,4514497470.0,12.07.2023,"      45.760,000"
100,4283900809,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      45.760,000",ST,02.01.2024,"        61,81",20.0,,DEA1,5301133479.0,4514594788.0,28.08.2023,"      45.760,000"
100,4301473669,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"      45.760,000",ST,22.02.2024,"        61,78",20.0,,DEA1,5301133479.0,4514736970.0,25.10.2023,"      45.760,000"
100,4305740563,10,NB,7EF,LIGATURCLIP MED.LARGE 20 MAGAZ.=120 ST.,PL568T,DE01,"     177.820,000",ST,06.05.2024,"        61,78",20.0,,DEA1,5301133479.0,4514742027.0,26.10.2023,"     177.820,000"
